sqlTypeId	javaclass	need args	full text indexable	StandardSQL	DB2	H2	HSQLDB	MySQL	Oracle	PostgreSQL	SQLite	SQLServer	SQLServer 2008	MSAccess
raw(n)	java.sql.Blob			varbinary(n)=false	varchar(n) for bit data=false	varbinary=false	varbinary=false	varbinary(n)=false	${sqlTypeId}=true|raw=true	bytea=false	none=false	varbinary(n)=false	varbinary(n)=false	longbinary=false
real(m,d)	java.lang.Double			${sqlTypeId}=true|real=true	decimal(p,s)=false	decimal(p,s)=false	decimal(p,s)=false	${sqlTypeId}=true	number(p,s)=false	decimal(p,s)=false	real=false	decimal(p,s)=false	decimal(p,s)=false	float=false
rowguidcol	java.lang.String
rowversion	java.lang.String										none=false	${sqlTypeId}=true|timestamp=true	${sqlTypeId}=true|timestamp=true
serial	java.lang.Integer			int=false	int=false	int=false	int=false	int=false	number(10,0)=false	${sqlTypeId}=true	integer=false	int=false	int=false	counter=true
set	java.lang.Object	TRUE						${sqlTypeId}=true
smallint(n)	java.lang.Short			smallint=false	smallint=false	smallint=false	smallint=false	${sqlTypeId}=true	number(5,0)=false	smallint=false	integer=false	smallint=false	smallint=false	smallint=true
time	java.sql.Time			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	date=false	${sqlTypeId}=true	none=false	${sqlTypeId}=true	${sqlTypeId}=true	datetime=false
time(p)	java.sql.Time			${sqlTypeId}=true|time=true	time=false	time=false	time=false	time=false	date=false	${sqlTypeId}=true|time=true	none=false	${sqlTypeId}=true|time=true	${sqlTypeId}=true|time=true	datetime=false
time with time zone	java.sql.Time			${sqlTypeId}=true	time=false	time=false	time=false	time=false	timestamp with time zone=false	${sqlTypeId}=true|timetz=true	none=false	time=false	time=false	datetime=false
time(p) with time zone	java.sql.Time			${sqlTypeId}=true|time with time zone=true	time=false	time=false	time=false	time=false	timestamp(p) with time zone=false	${sqlTypeId}=true|timetz=true	none=false	time(p)=false	time(p)=false	datetime=false
timestamp	java.util.Date			${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	${sqlTypeId}=true	none=false	datetime=true	datetime=true	datetime=true
datetime2	java.util.Date
